,Title,Quality,Type,Price,Shipping,Returns
0,The Werewolf Collection (15 Movies),Brand New,DVD,$11.99,Free,Unknown
1,LEPRECHAUN: 8-FILM COLLECTION NEW DVD,Brand New,DVD,$14.75,Free,Unknown
2,Twilight Saga 5 Movie Collection [DVD] Set,Brand New,DVD,$19.49,Free,Unknown
3,ROB ZOMBIE'S HALLOWEEN/ HALLOWEEN 2 NEW DVD,Brand New,DVD,$9.93,Free,Unknown
4,Scream 4 [New DVD],Brand New,DVD,$9.78,Free,Free
5,CHRISTINE NEW DVD,Brand New,DVD,$9.97,Free,Unknown
6,Fear Blu-ray Mark Wahlberg NEW,Brand New,Blu-ray Disc,$9.35,Free,Unknown
7,5 Film Collection: Final Destination [New DVD],Brand New,DVD,$13.50,Free,Free
8,Island of Terror [New DVD],Brand New,DVD,$7.91,Free,Free
9,"Stephen King: Movies & TV Collection [New DVD] Boxed Set, Full Frame,",Brand New,DVD,$23.76,Free,Free
10,The Thing Blu-ray Mary Elizabeth Winstead NEW,Brand New,Unknown,$9.35,Free,Unknown
11,"4 Film Favorites: Critters Collection [New DVD] Full Frame, Widescreen",Brand New,DVD,$12.73,Free,Free
12,Scream 3-Movie Collection (Blu Ray 4-Disc Set) No Digital,Pre-Owned,Blu-ray Disc,$14.99,Unknown,Unknown
13,"The Stand [New Blu-ray] Amaray Case, Dubbed, Subtitled, Widescreen",Brand New,Blu-ray Disc,$10.86,Free,Free
14,The Houses October Built (DVD) BRAND NEW FACTORY SEALED Horror Free Shipping,Brand New,DVD,$7.95,Free,Free
15,The Sixth Sense (Collector's Edition Series) - DVD - VERY GOOD,Pre-Owned,DVD,$4.09,Free,Free
16,THE HAUNTING NEW DVD,Brand New,DVD,$7.97,Free,Unknown
17,"Freakshow (DVD, 2006 Uncut Version) ",Pre-Owned,DVD,$3.99,Free,Free
18,Jaws DVD Roy Scheider NEW,Brand New,DVD,$4.99,Free,Unknown
19,"The Stand [New DVD] Full Frame, 2 Pack, Dubbed, Subtitled, Sensormatic",Brand New,DVD,$8.10,Free,Free
20,The Wes Craven Horror Collection DVD  NEW,Brand New,DVD,$13.99,Free,Unknown
